number,value,datetime_start,datetime_complete,duration,params_embedding_mode,params_learning_rate,params_n_nodes_layer_0,params_n_nodes_layer_1,params_n_nodes_layer_2,params_n_nodes_layer_3,params_num_hidden_layers,params_segmentation_dropout_rate,params_total_updates,params_updates_per_epoch,params_weight_decay_embedding,params_weight_decay_segmentation,user_attrs_test.rho2,user_attrs_test_acc,state,Rank,numLC,case,user_attrs_scaledentropy,rho
33,0.705089808,36:22.3,36:29.7,7,class-specific,0.026313423,64,128,NA,NA,2,0.058288367,600,1,0.000397102,0.000250003,0.358199656,0.694137156,COMPLETE,5,4,4045,3.66E-06,0.358199656
43,0.705090463,07:01.4,07:05.6,4,class-specific,0.010468629,64,128,128,256,4,0.313388001,1200,40,0.002171405,0.000117476,0.35819906,0.698008835,COMPLETE,3,3,3773,0.336301833,0.35819906
24,0.705091357,22:26.1,22:41.2,15,shared,0.024389246,128,128,256,128,4,0.291973204,900,1,0.006580212,0.001307362,0.358198166,0.688606203,COMPLETE,1,4,3402,0,0.358198166
32,0.705091655,45:39.6,45:42.9,3,class-specific,0.023540111,64,64,64,NA,3,0.210520487,600,40,0.006844117,0.000861082,0.358197927,0.693030953,COMPLETE,5,2,4090,0.388073295,0.358197927
38,0.705096722,47:07.2,47:11.6,4,class-specific,0.00705668,64,128,256,NA,3,0.385054025,600,40,0.003211306,0.000103104,0.358193338,0.700774312,COMPLETE,2,2,3303,0.479401141,0.358193338
3,0.7050969,32:57.6,33:04.5,6,shared,0.049330082,64,256,64,64,4,0.314064303,1500,10,0.002157437,0.000400933,0.358193219,0.692477882,COMPLETE,4,4,3873,0,0.358193219
32,0.705097497,39:01.8,39:06.0,4,shared,0.061677562,64,64,64,256,4,0.098268083,1200,10,0.005098241,0.000143044,0.358192682,0.689712405,COMPLETE,4,3,2751,1.72E-19,0.358192682
0,0.705098331,14:41.7,14:44.8,3,shared,0.022864926,64,64,128,128,4,0.390953653,600,1,0.000100229,0.00029145,0.358191907,0.695243359,COMPLETE,3,2,3250,0.348034739,0.358191907
0,0.705099165,19:24.0,19:32.5,8,class-specific,0.01644135,128,128,256,NA,3,0.311161976,300,40,0.00562702,0.003403371,0.358191073,0.689159274,COMPLETE,2,2,853,0.208899871,0.358191073
15,0.705101728,25:30.5,25:33.8,3,shared,0.012367385,256,128,NA,NA,2,0.160001238,600,40,0.000143606,0.00019771,0.358188748,0.698008835,COMPLETE,3,2,2950,0.50618875,0.358188748
36,0.705101728,33:53.5,33:59.9,6,class-specific,0.017597694,128,64,NA,NA,2,0.293955838,900,1,0.000156286,0.002935151,0.358188629,0.696349561,COMPLETE,4,2,2553,0.890774488,0.358188629
17,0.705103517,03:36.2,03:39.3,3,class-specific,0.050080165,64,64,NA,NA,2,0.318641448,1500,40,0.000241587,0.000226024,0.358187139,0.683628321,COMPLETE,2,2,4011,0.807393193,0.358187139
